Gender,Age,Batch,Grad_Year,Background,Major,Specialization,University,City,Student_Type,Selection_Reason,Job_Domain,Job_Role,Salary,Satisfaction,Status,Job_Support_Rating,Job_Support_Explain,Faculty_Rating,Faculty_Explain,Resources_Rating,Resources_Explain,Labs_Rating,Labs_Explain,Sports_Rating,Sports_Explain,Cafe_Rating,Cafe_Explain,Hostel_Rating,Hostel_Explain,Events_Rating,Events_Explain,Campus_Rating,Campus_Explain,Mgmt_Rating,Mgmt_Explain,Overall_Rating,Overall_Explain,Hardships,Lessons,Recommend,Recommend_Why,Job_Ready,Platform_Wish,Final_Comments,Repairing_Things,Working_Outdoors,Building_Things,Fixing_Appliances,Operating_Machines,Building_Models,Organizing_Info,Handling_Records,Balancing_Budgets,Meeting_Records,Systematic_Schedules,Finding_Errors,Solving_Problems,Experimenting,Investigating_Causes,Logic_Discussion,Analyzing_Graphs,Music_Activities,Designing_Posters,Writing_Plays,Acting_Films,Creative_Ideas,Teaching_Others,Helping_People,Volunteer_Work,Charity_Activities,Training_Others,Including_Others,Leading_Groups,Presenting_Ideas,Persuading_People,Leadership_Goal,Taking_Risks,Competitive_Situations,Submission_Status
Male,25.0,2018.0,2022.0,ICS,STEM,CS,"FAST NUCES, Islamabad",Islamabad,Studying only,Job placement,IT,Data Analyst,100k – 200k,5.0,Employed before graduation,5.0,market value of fast degree is insane,2.0,teachers take pride in failing students,3.0,library is small,5.0,labs are home during fyp,1.0,no sports just studies,2.0,cafe food is bad,1.0,,1.0,no life,2.0,campus is suffocating,1.0,management is rude,4.0,worth the pain,mental stress,coding skills,Yes,for money,Yes,Yes,,4,5,5,5,5,5,2,2,3,3,4,3,3,5,5,3,5,1,1,3,1,2,3,4,2,2,4,2,4,3,3,4,2,2,
Female,24.0,2019.0,2023.0,FSc Pre-Engineering,STEM,Electrical,"NUST, Islamabad",Islamabad,Studying only,Ranking,Engineering,Network Engineer,50k – 100k,4.0,Employed within 12 months,3.0,core jobs are less,5.0,seecs faculty is tough,5.0,library is amazing,5.0,labs are great,4.0,pool is nice,5.0,C1 cafe is best,4.0,hostel is safe,5.0,olympiad is fun,5.0,H-12 is green,3.0,relative grading sucks,4.0,great experience,relative grading,networking,Yes,brand name,Somewhat,Yes,,4,4,3,3,4,4,2,4,3,2,4,2,3,5,3,5,5,5,5,4,4,4,3,3,4,4,3,4,3,3,2,4,3,3,
Male,26.0,2017.0,2021.0,A-Levels (Mixed),Business & Economics,Economics,"Quaid-e-azam University, Islamabad",Islamabad,Studying only,Ranking,Business,Research Analyst,50k – 100k,4.0,Employed within 12 months,2.0,academic path mostly,5.0,best economics school,3.0,library is historic,1.0,,4.0,walking tracks,3.0,huts food,4.0,hostel politics,3.0,ethnic councils,5.0,nature,2.0,admin is slow,4.0,academic excellence,strikes,theory,Yes,for research,No,Yes,,1,2,2,2,2,2,5,5,5,5,5,5,3,3,4,4,4,3,3,2,4,3,2,2,2,4,2,3,4,5,4,5,5,5,
Female,23.0,2020.0,2024.0,ICS,STEM,CS,"Szabist, Islamabad",Islamabad,Studying only,Location,IT,Web Dev,50k – 100k,3.0,Employed within 3 months,3.0,alumni network is good,3.0,visiting faculty,2.0,library is small,2.0,labs are okay,1.0,table tennis,2.0,tuck shop,1.0,,3.0,zambeel fest,2.0,commercial building,3.0,staff is nice,3.0,good degree,elevator lines,corporate skills,Maybe,location,Somewhat,Yes,,3,5,4,5,4,4,4,2,2,4,4,4,4,5,5,4,4,4,4,5,5,4,4,2,2,3,4,2,2,3,4,3,3,2,
Male,24.0,2019.0,2023.0,FSc Pre-Engineering,STEM,Civil,"Capital University Of Science And Technology, Islamabad",Islamabad,Studying along with a job,Influence of teachers,Construction,Engineer,50k – 100k,3.0,Employed within 12 months,3.0,placement is active,4.0,civil faculty is good,3.0,portal is nice,5.0,labs are heavy,4.0,basketball,3.0,cafe is clean,1.0,,3.0,visio spark,4.0,purpose built,3.0,fines,3.0,good facilities,strictness,discipline,Maybe,backup,Somewhat,No,,5,5,5,4,4,5,3,4,2,3,3,3,4,3,5,3,3,3,2,1,1,1,4,4,3,3,3,3,3,2,4,4,2,2,
Female,22.0,2021.0,2025.0,I.Com,Social Sciences,Psychology,"Bahria University, E-8 Campus, Islamabad",Islamabad,Studying only,Location,Healthcare,Intern,Less than 50k,4.0,Still searching,2.0,weak placement,4.0,good faculty,3.0,library is quiet,1.0,,2.0,gym,4.0,cafe variety,1.0,,4.0,social events,4.0,posh area,2.0,parking issue,4.0,good environment,parking,confidence,Yes,social life,No,Yes,,4,4,3,3,2,3,2,4,2,3,4,4,2,4,2,3,3,3,3,2,3,2,4,4,5,4,5,5,2,3,4,4,4,3,
Male,25.0,2018.0,2022.0,ICS,STEM,IT,"Federal Urdu University, Islamabad",Islamabad,Studying along with a job,Fee structure,IT,Technician,Less than 50k,2.0,Still searching,1.0,no help,2.0,absent teachers,1.0,no books,1.0,broken labs,1.0,no sports,2.0,bad canteen,1.0,,1.0,no events,1.0,rented house,1.0,incompetent admin,1.0,mistake,power cuts,self help,No,avoid it,No,Yes,,5,5,3,4,4,3,4,2,4,2,4,3,5,5,5,5,4,4,3,2,4,4,2,4,2,4,2,3,4,2,4,4,3,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat,Yes,,3,3,4,3,4,3,2,2,4,2,4,2,4,2,4,4,4,3,4,3,3,2,4,3,3,2,3,2,4,4,2,3,4,2,
Male,22.0,2021.0,2025.0,ICS,STEM,CS,"FAST NUCES, Islamabad",Islamabad,Studying only,Job placement,IT,Flutter Dev,100k – 200k,5.0,Employed before graduation,5.0,we have 100% employment rate basically,2.0,one teacher failed half the class to maintain the curve,3.0,library is quiet but ac doesnt work half the time,5.0,labs are good but installing software requires admin permission,1.0,ground? what ground?,2.0,suffa is okay but hygiene is questionable,1.0,,1.0,dc committee cancels events if boys and girls stand too close,2.0,campus is suffocatingly small,1.0,management is obsessed with fines,4.0,it breaks you then builds you,dc committee terror,coding survival,Yes,guaranteed career,Yes,Yes,,5,5,5,4,4,4,4,4,2,2,3,2,5,5,5,5,5,3,4,2,2,3,3,4,4,2,3,3,4,3,2,2,3,4,
Female,24.0,2019.0,2023.0,A-Levels (Business),Business & Economics,BBA,"NUST, Islamabad",Islamabad,Studying only,Ranking,Business,HR Manager,50k – 100k,4.0,Employed within 6 months,4.0,nbs career fair is elite,5.0,nbs faculty is more chill than engineering ones,5.0,central library is a mood,2.0,computer labs in nbs are slow,4.0,gym is good but membership is extra,5.0,c4 cafe has the best environment,4.0,fatima hostel is safe,5.0,orientation week is the best memory,5.0,H-12 is literally a city,3.0,guards at gate 1 are very rude about dress code,5.0,best university experience in pakistan,strict dress code,grooming,Yes,holistic growth,Yes,Yes,,2,3,3,2,3,1,3,4,5,3,3,4,3,3,3,3,2,3,4,2,2,3,3,2,4,4,4,2,3,5,4,5,4,5,
Male,25.0,2018.0,2022.0,FSc Pre-Engineering,STEM,Electrical,"Comsats University Islamabad, Islamabad",Islamabad,Studying only,Location,Engineering,Network Engineer,50k – 100k,3.0,Employed within 12 months,3.0,placement office is just for show,3.0,faculty is knowledgeable but not helpful,4.0,digital library access is seamless,3.0,labs are functional,4.0,football ground is always busy,5.0,ayaans chai with paratha is therapy,2.0,hostel life is messy,4.0,concerts are lit,3.0,campus is huge but walking is tiring,1.0,the yellow buses are death traps so overcrowded,3.0,good value for money,transport struggle,patience,Yes,affordable degree,Somewhat,Yes,,3,4,5,5,4,5,3,4,2,4,2,4,3,4,3,3,5,2,3,2,3,3,2,4,4,2,3,3,3,4,2,3,3,3,
Female,23.0,2020.0,2024.0,ICS,STEM,SE,"Bahria University, E-8 Campus, Islamabad",Islamabad,Studying along with a job,Location,IT,QA Intern,Less than 50k,3.0,Still searching,2.0,placement focuses on business grads,3.0,faculty is okay mostly visiting,3.0,library is good,4.0,labs are new,2.0,gym is small,4.0,cafe is the main hangout spot,1.0,,4.0,welcome parties are fun,4.0,E-8 is secure,2.0,parking is a war zone daily,3.0,good social life average academics,parking rage,socializing,Maybe,fun uni life,No,Yes,,5,5,5,5,4,5,4,2,3,3,2,3,5,5,4,4,4,3,2,2,2,3,2,3,4,2,3,2,3,2,4,2,2,2,
Male,26.0,2017.0,2021.0,FSc Pre-Engineering,Social Sciences,History,"Quaid-e-azam University, Islamabad",Islamabad,Studying only,Ranking,Education,Lecturer,50k – 100k,4.0,Employed within 12 months,1.0,no career support,5.0,history dept faculty is legendary,2.0,library is dusty,1.0,,5.0,hiking trails are part of campus,4.0,huts food is cheap and best,2.0,hostel councils are scary,3.0,cultural nights only,5.0,campus is a jungle literally,2.0,admin is stuck in 1980s,4.0,intellectually free environment,council fights,history awareness,Yes,for intellectuals,No,Yes,,4,4,4,4,2,3,4,4,3,2,4,2,2,4,3,2,4,2,3,2,4,2,4,5,3,4,5,5,3,2,4,4,2,2,
Female,22.0,2021.0,2025.0,FSc Pre-Medical,STEM,Psychology,"Air University, Islamabad",Islamabad,Studying only,Location,Healthcare,Counselor,Less than 50k,4.0,Still searching,2.0,no jobs for psychology,5.0,faculty is very supportive,3.0,library is small,1.0,,2.0,sports are rare,3.0,cafe is average,1.0,,3.0,airtech only,4.0,margalla view is nice,5.0,discipline is strict,4.0,safe and disciplined environment,strict rules,discipline,Yes,safe environment,No,Yes,,4,4,4,5,5,5,3,2,4,2,3,4,4,5,5,4,5,4,4,3,4,3,2,2,3,3,2,4,4,3,2,2,3,4,
Male,24.0,2019.0,2023.0,ICS,STEM,Cyber Security,"NUST, Islamabad",Islamabad,Studying only,Ranking,IT,SOC Analyst,100k – 200k,5.0,Employed within 3 months,4.0,nust tag gets you through cv screening,4.0,mcs faculty is strict but good,4.0,library is good,5.0,military college of signals labs are restricted but high tech,4.0,sports are compulsory,3.0,mess food is army style,4.0,cadets hostel is strict,3.0,passing out parade is cool,4.0,campus is in rawalpindi not h-12 so feel excluded,5.0,army discipline is high,4.0,disciplined and skilled,strict routine,discipline,Yes,prestigious,Yes,Yes,,4,5,5,5,5,5,2,4,2,2,3,2,3,5,5,5,5,5,3,3,4,3,3,3,3,3,4,3,4,2,2,4,4,3,
Female,25.0,2018.0,2022.0,A-Levels (Arts),Arts & Humanities,English,"Foundation University, Islamabad",Islamabad,Studying only,Location,Education,Teacher,Less than 50k,3.0,Employed within 6 months,3.0,school placement helps,4.0,english dept is good,3.0,library is decent,1.0,,2.0,sports ground,4.0,cafeteria is clean,1.0,,3.0,events are decent,4.0,campus is clean,4.0,admin is responsive,3.0,good for girls,dress code,confidence,Yes,safe environment,Somewhat,Yes,,2,4,3,2,4,3,2,2,1,1,1,1,3,2,3,4,2,5,5,5,4,5,3,2,4,3,3,3,4,4,4,2,2,3,
Male,23.0,2020.0,2024.0,DAE / Diploma,STEM,Electrical,"Federal Urdu University, Islamabad",Islamabad,Studying along with a job,Fee structure,Engineering,Technician,Less than 50k,2.0,Still searching,1.0,placement cell is non existent,2.0,teachers skip classes,1.0,library has no books,1.0,labs have no equipment,1.0,no sports,2.0,canteen is dirty,1.0,,1.0,no events,1.0,rented building,1.0,admin demands bribes sometimes,1.0,worst mistake of my life,financial loss,self reliance,No,degree mill,No,Yes,None.,4,5,5,4,5,5,2,4,2,2,3,4,3,3,5,5,3,4,2,4,4,3,4,4,4,4,3,2,4,2,3,3,3,4,
Female,24.0,2019.0,2023.0,FSc Pre-Engineering,STEM,Architecture,"Comsats University Islamabad, Islamabad",Islamabad,Studying only,Ranking,Architecture,Architect,50k – 100k,4.0,Employed within 6 months,2.0,architecture jobs are word of mouth,5.0,faculty pushes you to limit,4.0,design library is good,5.0,studios are vibrant,2.0,no time for sports,4.0,cafe is life,2.0,hostels are unsafe,4.0,thesis jury is a festival,4.0,campus red bricks are aesthetic,3.0,guards are rude,4.0,creative freedom,jury stress,creativity,Yes,good design program,No,Yes,,4,4,4,4,5,5,4,4,3,4,3,3,5,4,5,3,5,5,5,5,3,4,2,2,3,2,4,4,3,3,2,4,2,2,
Male,27.0,2016.0,2020.0,A-Levels (Mixed),Business & Economics,Economics,"NUST, Islamabad",Islamabad,Studying only,Ranking,Business,Data Analyst,100k – 200k,4.0,Employed within 12 months,4.0,s3h graduates get good roles,5.0,economics faculty is top tier,5.0,library is massive,3.0,labs are standard,5.0,sports complex,5.0,c2 biryani,4.0,hostel life,5.0,olympiad,5.0,H-12 is green,3.0,relative grading,5.0,best brand name,grading stress,analysis,Yes,top university,Yes,Yes,None.,3,2,2,2,2,2,3,5,4,5,3,5,4,4,3,4,4,3,2,4,4,3,3,2,2,2,2,3,5,5,5,5,5,4,
Female,22.0,2021.0,2025.0,I.Com,Business & Economics,BBA,"Szabist, Islamabad",Islamabad,Studying only,Location,Business,Marketing Intern,Less than 50k,3.0,Still searching,3.0,alumni network helps,3.0,corporate teachers,2.0,library is small,2.0,labs are average,1.0,table tennis,2.0,tuck shop,1.0,,3.0,zambeel fest,2.0,building campus,3.0,polite staff,3.0,degree is recognized,elevator queues,presentation,Maybe,location advantage,Somewhat,Yes,,1,1,2,1,1,3,5,5,5,4,4,5,3,3,3,2,4,2,3,3,4,3,3,4,2,2,2,4,5,3,4,3,4,4,
Male,25.0,2018.0,2022.0,ICS,STEM,CS,"Bahria University, H-11 Campus, Islamabad",Islamabad,Studying only,Location,IT,Web Dev,50k – 100k,3.0,Employed within 12 months,2.0,H-11 placement is weaker than E-8,3.0,new faculty,3.0,new library,4.0,new labs,2.0,dust everywhere,3.0,cafe is pricey,1.0,,3.0,events are okay,3.0,under construction,2.0,parking mud,3.0,average,construction noise,adaptability,Maybe,social life,No,No,,4,5,4,3,4,4,2,4,2,3,3,4,4,5,5,5,4,3,5,4,4,4,2,4,4,4,4,2,2,4,3,4,4,4,
Female,23.0,2020.0,2024.0,FSc Pre-Medical,STEM,Biotechnology,"International Islamic University, Islamabad",Islamabad,Studying only,Fee structure,Research,Lab Assistant,Less than 50k,3.0,Still searching,1.0,no biotech jobs,3.0,female campus is strict,2.0,library is segregated,3.0,labs are decent,2.0,sports complex,3.0,cheap food,3.0,strict hostel,1.0,religious events,3.0,mosque view,2.0,bus transport,3.0,affordable,bus rush,patience,Maybe,cheap option,No,Yes,,5,5,5,4,4,4,3,2,3,4,2,3,5,4,4,4,4,3,3,2,3,2,3,3,3,3,3,4,4,4,2,4,3,2,
Male,24.0,2019.0,2023.0,DAE / Diploma,STEM,Civil,"Capital University Of Science And Technology, Islamabad",Islamabad,Studying along with a job,Influence of teachers,Construction,Surveyor,50k – 100k,3.0,Employed within 12 months,3.0,placement is active,4.0,faculty is experienced,3.0,portal is good,5.0,labs are heavy,4.0,basketball,3.0,cafe is clean,1.0,,3.0,visio spark,4.0,purpose built,3.0,dress code fines,3.0,good facilities,strictness,discipline,Maybe,backup option,Somewhat,Yes,,5,5,5,4,5,5,4,3,2,3,3,4,5,5,4,5,5,3,1,1,3,3,2,3,2,2,4,4,4,3,4,2,3,3,
Female,26.0,2017.0,2021.0,A-Levels (Arts),Social Sciences,IR,"National Defence University, Islamabad",Islamabad,Studying along with a job,Reputation,Government,Research Officer,100k – 200k,5.0,Employed within 12 months,3.0,govt jobs require exams,5.0,faculty is elite,4.0,defense library,1.0,,3.0,gym,4.0,officers mess,1.0,,3.0,seminars,5.0,secure zone,3.0,security checks,5.0,prestigious,security protocol,policy making,Yes,elite network,Somewhat,Yes,,4,2,2,3,3,4,2,4,4,3,3,4,4,3,2,2,4,2,4,3,4,3,5,4,5,5,5,5,3,4,4,4,3,4,
Male,23.0,2020.0,2024.0,ICS,STEM,CS,"FAST NUCES, Islamabad",Islamabad,Studying only,Job placement,IT,DevOps,100k – 200k,5.0,Employed before graduation,5.0,instant job,2.0,grading is brutal,3.0,library is crowded,5.0,labs are home,1.0,no sports,2.0,oily food,1.0,,1.0,no life,2.0,small campus,1.0,rude admin,4.0,worth it,depression,coding,Yes,money,Yes,No,,4,5,4,5,5,5,2,2,4,2,4,3,5,5,5,4,4,1,2,3,3,3,2,3,3,3,4,2,4,3,2,3,3,3,
Female,22.0,2021.0,2025.0,I.Com,Social Sciences,Media,"Riphah International University, Islamabad",Islamabad,Studying only,Course outline,Media,Social Media,50k – 100k,4.0,Employed within 6 months,3.0,industry links,4.0,practical teachers,3.0,studio,4.0,mac labs,1.0,no sports,3.0,desie food,4.0,safe hostel,2.0,islamic events,3.0,far location,4.0,islamic values,3.0,good values,commute,ethics,Yes,conservative,Somewhat,Yes,,2,3,2,3,4,3,2,3,2,4,2,3,3,5,3,4,3,3,3,3,4,4,5,3,5,5,3,4,3,4,3,3,3,4,
Male,25.0,2018.0,2022.0,FSc Pre-Engineering,STEM,Electrical,"PIEAS, Islamabad",Islamabad,Studying only,Ranking,Engineering,Electrical Engineer,100k – 200k,5.0,Employed before graduation,5.0,paec job,5.0,top scientists,4.0,technical library,5.0,top labs,4.0,sports,3.0,average food,5.0,community,3.0,workshops,3.0,isolated,5.0,efficient,5.0,elite,workload,focus,Yes,merit,Yes,Yes,,5,4,4,3,4,5,4,3,2,4,3,3,5,4,5,4,4,2,3,3,4,4,2,3,2,3,2,3,2,3,4,4,3,3,
Female,24.0,2019.0,2023.0,ICS,STEM,Software Engineering,"Air University, Islamabad",Islamabad,Studying only,Location,IT,SQAE,100k – 200k,4.0,Employed within 3 months,4.0,job fair,4.0,supportive faculty,3.0,small library,4.0,good labs,2.0,limited sports,3.0,average cafe,1.0,,3.0,airtech,4.0,clean campus,5.0,strict admin,4.0,good mid tier,strictness,coding,Yes,disciplined,Yes,Yes,,4,4,5,4,3,5,2,4,3,2,3,4,5,5,5,5,5,2,2,2,3,1,2,4,3,4,2,3,3,2,3,3,4,2,
